determinand,sub.family,basis.BAC,basis.EAC,basis.MPC,basis.EQS,basis.EQS.OSPAR,basis.EQS.HELCOM,basis.FEQG,basis.HQS,BAC,EAC,MPC,EQS,EQS.OSPAR,EQS.HELCOM,FEQG,HQS
CD,Fish,W,,W,,,W,,W,26,,1000,,,26,,1000
HG,Fish,W,,W,W,W,W,,W,35,,500,20,20,20,,500
PB,Fish,W,,W,,,W,,W,26,,1500,,,26,,1500
CB28,Fish,W,L,,,,,,,0.1,67,,,,,,
CB52,Fish,W,L,,,,,,,0.08,108,,,,,,
CB101,Fish,W,L,,,,,,,0.08,121,,,,,,
CB105,Fish,W,,,,,,,,0.08,,,,,,,
CB118,Fish,W,L,,,,,,,0.1,25,,,,,,
CB138,Fish,W,L,,,,,,,0.09,317,,,,,,
CB153,Fish,W,L,,,,W,,,0.1,1585,,,,75,,
CB156,Fish,W,,,,,,,,0.08,,,,,,,
CB180,Fish,W,L,,,,,,,0.11,469,,,,,,
SCB6,Fish,,,W,,,L,,W,,,200,,,75,,75
BDE28,Fish,L,,,W,,,L,,0.065,,,44.4,,,2400,
BDE47,Fish,L,,,W,,,L,,0.065,,,44.4,,,880,
BDE66,Fish,L,,,,,,,,0.065,,,,,,,
BDE85,Fish,L,,,,,,,,0.065,,,,,,,
BDE99,Fish,L,,,W,,,L,,0.065,,,44.4,,,20,
BD100,Fish,L,,,W,,,L,,0.065,,,44.4,,,20,
BD126,Fish,L,,,,,,,,0.065,,,,,,,
BD153,Fish,L,,,W,,,L,,0.065,,,44.4,,,80,
BD154,Fish,L,,,W,,,L,,0.065,,,44.4,,,80,
BD183,Fish,L,,,,,,,,0.065,,,,,,,
BD209,Fish,L,,,,,,,,0.065,,,,,,,
SBDE6,Fish,,,,,,L,,W,,,,,,0.0085,,0.0085
HBCD,Fish,,,,W,L,L,,,,,,167,3340,167,,
HCB,Fish,W,,,W,L,,,W,0.09,,,10,334,,,10
DDEPP,Fish,W,,,,,,,,0.1,,,,,,,
HCHG,Fish,,L,,,,,,W,,22,,,,,,61
PFOS,Fish,,,,W,W,W,,W,,,,9.1,33,9.1,,9.1
TCDD,"Fish,Crustacea",,,,W,,,,,,,,0.0065,,,,
CDF2T,"Fish,Crustacea",,,,W,,,,,,,,0.065,,,,
TEQDFP,Fish,,,,,L,L,,W,,,,,0.024,0.0065,,0.0065
TBSN+,Fish,,,,,,,,W,,,,,,,,15.2
CD,Mussel,D,,W,,,D,,W,960,,1000,,,960,,1000
CD,Oyster,D,,W,,,,,W,3000,,1000,,,,,1000
CD,Clam,,,W,,,D,,W,,,1000,,,960,,1000
CD,Scallop,,,W,,,,,W,,,1000,,,,,1000
CD,Crustacea,,,W,,,,,W,,,500,,,,,500
