determinand,common.name,pargroup,biota.group,sediment.group,water.group,biota.unit,sediment.unit,water.unit,biota.range,sediment.range,water.range,biota.auxiliary,sediment.auxiliary,water.auxiliary,distribution,good.status
AG,Silver,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
AL,Aluminium,I-MET,Metals,Auxiliary,Metals,ug/kg,%,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
AS,Arsenic,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
BA,Barium,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
CD,Cadmium,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
CO,Cobalt,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
CR,Chromium,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
CU,Copper,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
FE,Iron,I-MET,Metals,Auxiliary,Metals,ug/kg,%,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
HG,Mercury,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
LI,Lithium,I-MET,Metals,Auxiliary,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
MN,Manganese,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
NI,Nickel,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
PB,Lead,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
SE,Selenium,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
SN,Tin,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
SR,Strontium,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
V,Vanadium,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
ZN,Zinc,I-MET,Metals,Metals,Metals,ug/kg,mg/kg,ug/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,lognormal,low
ACNE,Acenaphthene,O-PAH,PAH_parent,PAH_parent,PAH_parent,ug/kg,ug/kg,ng/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,lognormal,low
ACNLE,Acenaphthylene,O-PAH,PAH_parent,PAH_parent,PAH_parent,ug/kg,ug/kg,ng/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,lognormal,low
ANT,Anthracene,O-PAH,PAH_parent,PAH_parent,PAH_parent,ug/kg,ug/kg,ng/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,lognormal,low
BAA,Benzo[a]anthracene,O-PAH,PAH_parent,PAH_parent,PAH_parent,ug/kg,ug/kg,ng/l,value > 0,value > 0,value > 0,"LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,lognormal,low
