species,recognised.species,common.name,family,sub.family,assess,MU.DRYWT%,LI.DRYWT%,SB.DRYWT%,TM.DRYWT%,EH.DRYWT%,HA.DRYWT%,FE.DRYWT%,BL.DRYWT%,MU.LIPIDWT%,LI.LIPIDWT%,SB.LIPIDWT%,TM.LIPIDWT%,EH.LIPIDWT%,HA.LIPIDWT%,FE.LIPIDWT%,BL.LIPIDWT%
Abramis brama,Abramis brama,Common bream,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Anguilla anguilla,Anguilla anguilla,European eel,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Brosme brosme,Brosme brosme,Cusk,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Chimaera monstrosa,Chimaera monstrosa,Rabbit fish,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Clupea harengus,Clupea harengus,Herring,Fish,Fish,TRUE,26.5,32,,,,,,,4.62,4.38,,,,,,
Callionymus lyra,Callionymus lyra,Dragonet,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Esox lucius,Esox lucius,Northern pike,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Gadus morhua,Gadus morhua,Cod,Fish,Fish,TRUE,19.2,55,,,,,,,0.34,43,,,,,,
Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,Megrim,Fish,Fish,TRUE,20.2,40.2,,,,,,,0.32,24.7,,,,,,
Lepidorhombus boscii,Lepidorhombus boscii,Four spotted megrim,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Limanda limanda,Limanda limanda,Common dab,Fish,Fish,TRUE,20.13,32.3,,,,,,,0.73,19.6,,,,,,
Lota lota,Lota lota,Burbot,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Melanogrammus aeglefinus,Melanogrammus aeglefinus,Haddock,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Merlangius merlangus,Merlangius merlangus,Whiting,Fish,Fish,TRUE,20,44.55,,,,,,,,36.55,,,,,,
Merluccius merluccius,Merluccius merluccius,Hake,Fish,Fish,TRUE,20,,,,,,,,,43.7,,,,,,
Molva molva,Molva molva,Common ling,Fish,Fish,TRUE,21.15,64.25,,,,,,,0.34,53,,,,,,
Mullus barbatus,Mullus barbatus,Red mullet,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Myoxocephalus scorpius,Myoxocephalus scorpius,Shorthorn sculpin,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Neogobius melanostomus,Neogobius melanostomus,Round goby,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Perca fluviatilis,Perca fluviatilis,European perch,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Platichthys flesus,Platichthys flesus,Flounder,Fish,Fish,TRUE,21.3,32.2,,,,,,,0.91,14.9,,,,,,
Pleuronectes platessa,Pleuronectes platessa,Plaice,Fish,Fish,TRUE,20,27.05,,,,,,,0.48,11,,,,,,
Salvelinus alpinus,Salvelinus alpinus,Arctic char,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Salvelinus namaycush,Salvelinus namaycush,Lake trout,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Salmo trutta,Salmo trutta,Brown trout,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Scomber scombrus,Scomber scombrus,Atlantic mackerel,Fish,Fish,TRUE,25.57,26.64,,,,,,,,6.99,,,,,,
Sprattus sprattus,Sprattus sprattus,European sprat,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Trigla lucerna,Trigla lucerna,Tub gurnard,Fish,Fish,TRUE,,,,,,,,,,,,,,,,
Zoarces viviparus,Zoarces viviparus,Eelpout,Fish,Fish,TRUE,18.6,23,,,,,,,0.56,0.57,,,,,,
Callista chione,Callista chione,Smooth clam,Bivalvia,Clam,TRUE,,,20,,,,,,,,0.7,,,,,
Cerastoderma edule,Cerastoderma edule,Common cockle,Bivalvia,Clam,TRUE,,,18,,,,,,,,,,,,,
Chamelea gallina,Chamelea gallina,Striped venus clam,Bivalvia,Clam,TRUE,,,20,,,,,,,,0.7,,,,,
